6.000000	5.196152
36
0.500000	0.500000
1.500000	0.500000
2.500000	0.500000
3.500000	0.500000
4.500000	0.500000
5.500000	0.500000
1.000000	1.366025
2.000000	1.366025
3.000000	1.366025
4.000000	1.366025
5.000000	1.366025
6.000000	1.366025
0.500000	2.232051
1.500000	2.232051
2.500000	2.232051
3.500000	2.232051
4.500000	2.232051
5.500000	2.232051
1.000000	3.098076
2.000000	3.098076
3.000000	3.098076
4.000000	3.098076
5.000000	3.098076
6.000000	3.098076
0.500000	3.964102
1.500000	3.964102
2.500000	3.964102
3.500000	3.964102
4.500000	3.964102
5.500000	3.964102
1.000000	4.830127
2.000000	4.830127
3.000000	4.830127
4.000000	4.830127
5.000000	4.830127
6.000000	4.830127
